closed_issues,closed_prs,comment,commits,created_at,description,forks,inner_source,is_nvidia,latest_release.published_at,latest_release.tag_name,license,name,open_days,open_issues,open_prs,pushed_at,quadrant,ring,stars,status,topics,url
82,14,,179,2023-04-02T14:55:59Z,Firefly,581,FALSE,FALSE,2024-02-03T16:30:20Z,v0.0.1-alpha,No License,yangjianxin1/Firefly,799,204,8,2024-10-24T02:27:42Z,Application,Hold,6438,new,"alpaca, aquila, baichuan, chatglm, gemma, gpt, internlm, llama, llama2, llama3, llm, lora, minicpm, mistral, mixtral, peft, qlora, qwen, qwen2, zephyr",https://github.com/yangjianxin1/Firefly
180,818,,1124,2023-07-22T00:29:04Z,FlashInfer: Kernel Library for LLM Serving,324,FALSE,FALSE,2025-06-07T03:24:46Z,v0.2.6.post1,Apache License 2.0,flashinfer-ai/flashinfer,688,114,12,2025-06-09T05:29:10Z,Platform,Assess,3135,new,"attention, cuda, gpu, jit, large-large-models, llm-inference, nvidia, pytorch",https://github.com/flashinfer-ai/flashinfer
1748,4236,,3603,2024-01-08T04:15:52Z,SGLang is a fast serving framework for large language models and vision language models.,1957,FALSE,FALSE,2025-04-27T21:47:10Z,v0.4.6,Apache License 2.0,sgl-project/sglang,518,459,326,2025-06-09T11:03:42Z,Framework,Adopt,14987,new,"cuda, deepseek, deepseek-llm, deepseek-r1, deepseek-r1-zero, deepseek-v3, inference, llama, llama3, llama3-1, llama4, llava, llm, llm-serving, moe, pytorch, qwen3, transformer, vlm",https://github.com/sgl-project/sglang
555,1108,,2199,2019-09-23T08:10:42Z,Fast inference engine for Transformer models,363,FALSE,FALSE,2025-04-08T15:33:28Z,v4.6.0,MIT License,OpenNMT/CTranslate2,2086,200,31,2025-04-08T19:43:21Z,Platform,Hold,3847,new,"avx, avx2, cpp, cuda, deep-learning, deep-neural-networks, gemm, inference, intrinsics, machine-translation, mkl, neon, neural-machine-translation, onednn, openmp, opennmt, parallel-computing, quantization, thrust, transformer-models",https://github.com/OpenNMT/CTranslate2
123,341,,602,2024-03-19T06:19:55Z,xDiT: A Scalable Inference Engine for Diffusion Transformers (DiTs) with Massive Parallelism,219,FALSE,FALSE,2025-04-21T05:55:12Z,0.4.3.post3,Apache License 2.0,xdit-project/xDiT,447,56,2,2025-06-03T01:35:27Z,Framework,Hold,2007,new,No Topics,https://github.com/xdit-project/xDiT
3243,16414,,17689,2019-09-12T20:57:39Z,A retargetable MLIR-based machine learning compiler and runtime toolkit.,704,FALSE,FALSE,2025-06-09T09:39:57Z,iree-3.5.0rc20250609,Apache License 2.0,iree-org/iree,2096,1232,61,2025-06-09T09:48:31Z,Platform,Trial,3169,new,"compiler, cuda, jax, machine-learning, mlir, onnx, pytorch, runtime, spirv, tensorflow, vulkan",https://github.com/iree-org/iree
410,372,,1327,2023-07-30T02:20:13Z,"An Easy-to-use, Scalable and High-performance RLHF Framework based on Ray (PPO & GRPO & REINFORCE++ & vLLM & RFT & Dynamic Sampling & Async Agent RL)",680,FALSE,FALSE,2025-06-04T00:09:07Z,v0.8.3,Apache License 2.0,OpenRLHF/OpenRLHF,680,238,16,2025-06-05T08:43:32Z,Framework,Trial,7006,new,"large-language-models, openai-o1, proximal-policy-optimization, raylib, reinforcement-learning, reinforcement-learning-from-human-feedback, transformers, vllm",https://github.com/OpenRLHF/OpenRLHF
593,252,,1332,2024-02-20T03:01:34Z,Open-Sora: Democratizing Efficient Video Production for All,2580,FALSE,FALSE,2025-02-21T02:30:05Z,v1.3,Apache License 2.0,hpcaitech/Open-Sora,475,5,2,2025-04-30T06:43:17Z,Application,Assess,26631,new,No Topics,https://github.com/hpcaitech/Open-Sora
376,321,,819,2024-07-26T07:18:28Z,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,1013,FALSE,FALSE,2025-05-17T07:28:27Z,v0.3.1,Apache License 2.0,kvcache-ai/ktransformers,318,548,12,2025-06-07T10:14:00Z,Platform,Trial,14297,new,No Topics,https://github.com/kvcache-ai/ktransformers
321,963,,802,2024-10-31T06:11:15Z,verl: Volcano Engine Reinforcement Learning for LLMs,1194,FALSE,FALSE,2025-06-06T23:55:08Z,v0.4.0,Apache License 2.0,volcengine/verl,221,507,104,2025-06-09T07:27:01Z,Tool,Trial,9165,new,No Topics,https://github.com/volcengine/verl
235,909,,878,2025-03-03T18:40:07Z,A Datacenter Scale Distributed Inference Serving Framework,407,FALSE,FALSE,2025-06-05T20:51:31Z,v0.3.0,Apache License 2.0,ai-dynamo/dynamo,98,177,111,2025-06-09T09:25:15Z,Tool,Trial,4230,new,No Topics,https://github.com/ai-dynamo/dynamo
1472,1559,,1331,2023-06-15T12:38:06Z,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.",555,FALSE,FALSE,2025-05-04T03:17:23Z,v0.8.0,Apache License 2.0,InternLM/lmdeploy,725,447,44,2025-06-09T04:20:18Z,Tool,Trial,6486,new,"codellama, cuda-kernels, deepspeed, fastertransformer, internlm, llama, llama2, llama3, llm, llm-inference, turbomind",https://github.com/InternLM/lmdeploy
16548,32493,,25506,2016-10-25T19:38:30Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,6358,FALSE,FALSE,2025-05-07T21:12:53Z,ray-2.46.0,Apache License 2.0,ray-project/ray,3148,3792,504,2025-06-09T06:17:06Z,Tool,Adopt,37420,new,"data-science, deep-learning, deployment, distributed, hyperparameter-optimization, hyperparameter-search, large-language-models, llm, llm-inference, llm-serving, machine-learning, optimization, parallel, python, pytorch, ray, reinforcement-learning, rllib, serving, tensorflow",https://github.com/ray-project/ray
388,605,,546,2024-06-10T23:06:10Z,Cost-efficient and pluggable Infrastructure components for GenAI inference,367,FALSE,FALSE,2025-05-21T21:42:19Z,v0.3.0,Apache License 2.0,vllm-project/aibrix,363,166,16,2025-06-06T21:59:12Z,Application,Assess,3666,new,No Topics,https://github.com/vllm-project/aibrix
82,275,,296,2024-06-25T05:21:05Z,"Mooncake is the serving platform for Kimi, a leading LLM service provided by Moonshot AI.",277,FALSE,FALSE,2025-05-26T11:51:05Z,v0.3.2.post1,Apache License 2.0,kvcache-ai/Mooncake,349,80,23,2025-06-09T11:02:44Z,Platform,Assess,3376,new,No Topics,https://github.com/kvcache-ai/Mooncake
180,391,,383,2024-05-28T21:06:04Z,Redis for LLMs,200,FALSE,FALSE,2025-05-28T20:25:35Z,v0.3.0,Apache License 2.0,LMCache/LMCache,376,185,42,2025-06-09T11:10:27Z,Platform,Assess,1294,new,No Topics,https://github.com/LMCache/LMCache
3456,14442,,13045,2016-10-12T22:20:28Z,"Open deep learning compiler stack for cpu, gpu and specialized accelerators",3595,FALSE,FALSE,2025-04-19T12:21:14Z,v0.20.0,Apache License 2.0,apache/tvm,3161,91,49,2025-06-09T05:04:09Z,Platform,Trial,12353,new,"compiler, deep-learning, gpu, javascript, machine-learning, metal, opencl, performance, rocm, spirv, tensor, tvm, vulkan",https://github.com/apache/tvm
36470,102036,,88743,2016-08-13T05:26:41Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration,24386,FALSE,FALSE,2025-06-04T18:13:15Z,v2.7.1,Other,pytorch/pytorch,3222,15192,1309,2025-06-09T11:24:24Z,Framework,Adopt,90661,new,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",https://github.com/pytorch/pytorch
17775,53313,,54095,2016-08-15T06:59:08Z,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice 锛堛€庨妗ㄣ€忔牳蹇冩鏋讹紝娣卞害瀛︿範&鏈哄櫒瀛︿範楂樻€ц兘鍗曟満銆佸垎甯冨紡璁粌鍜岃法骞冲彴閮ㄧ讲锛?Apache License 2.0,5745,FALSE,FALSE,2025-03-31T01:41:13Z,v3.0.0,Apache License 2.0,PaddlePaddle/Paddle,3220,1021,844,2025-06-09T11:35:13Z,Framework,Trial,22844,new,"deep-learning, distributed-training, efficiency, machine-learning, neural-network, paddlepaddle, python, scalability",https://github.com/PaddlePaddle/Paddle
12,20,,35,2025-02-21T06:31:27Z,FlashMLA: Efficient MLA decoding kernels,839,FALSE,FALSE,,,MIT License,deepseek-ai/FlashMLA,108,40,0,2025-04-29T04:03:43Z,Platform,Hold,11592,new,No Topics,https://github.com/deepseek-ai/FlashMLA
94,34,,93,2025-02-17T01:33:04Z,DeepEP: an efficient expert-parallel communication library,789,FALSE,FALSE,,,MIT License,deepseek-ai/DeepEP,112,69,0,2025-06-09T09:14:30Z,Platform,Assess,7747,new,No Topics,https://github.com/deepseek-ai/DeepEP
469,28,,36,2025-01-20T11:57:28Z,,11621,FALSE,FALSE,,,MIT License,deepseek-ai/DeepSeek-R1,140,99,25,2025-04-09T05:36:23Z,Application,Assess,89980,new,No Topics,https://github.com/deepseek-ai/DeepSeek-R1
